comparison_id,from_run_id,to_run_id,level,parent_category,category,amount,sort_order
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,1,,Portfolio / Exposure,1868416.0766580426,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,1,,Credit quality,1167760.0479112766,2
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,1,,Macroeconomic scenario paths,3347578.8040123265,3
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,1,,Scenario weights,1012058.7081897731,4
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,1,,Management overlay,389253.34930375894,5
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Macroeconomic scenario paths,Baseline,669515.7608024654,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Macroeconomic scenario paths,Downside,1506410.461805547,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Macroeconomic scenario paths,Severe,1171652.5814043141,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Unemployment,111585.96013374423,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,GDP,111585.96013374423,2
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,House Price Index,111585.96013374423,3
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Commercial Property Prices,111585.96013374423,4
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,BBB Spread,111585.96013374423,5
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Corporate Default Rate,111585.96013374423,6
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,Unemployment,251068.41030092447,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,GDP,251068.41030092447,2
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,House Price Index,251068.41030092447,3
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,Commercial Property Prices,251068.41030092447,4
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,BBB Spread,251068.41030092447,5
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Downside,Corporate Default Rate,251068.41030092447,6
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,Unemployment,195275.43023405236,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,GDP,195275.43023405236,2
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,House Price Index,195275.43023405236,3
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,Commercial Property Prices,195275.43023405236,4
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,BBB Spread,195275.43023405236,5
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,3,Macroeconomic scenario paths::Severe,Corporate Default Rate,195275.43023405236,6
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,FICO,145970.00598890957,1
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,DTI,145970.00598890957,2
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,Delinquency,145970.00598890957,3
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,Watchlist / forbearance,145970.00598890957,4
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,Rating,145970.00598890957,5
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,Leverage,145970.00598890957,6
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,Interest coverage,145970.00598890957,7
IFRS9_20260630_FINAL_V1__IFRS9_20260731_FINAL_V1,IFRS9_20260630_FINAL_V1,IFRS9_20260731_FINAL_V1,2,Credit quality,LTV,145970.00598890957,8
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,1,,Portfolio / Exposure,8289370.020787793,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,1,,Credit quality,5180856.262992371,2
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,1,,Macroeconomic scenario paths,14851787.953911463,3
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,1,,Scenario weights,4490075.427926722,4
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,1,,Management overlay,1726952.0876641236,5
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Macroeconomic scenario paths,Baseline,2970357.5907822927,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Macroeconomic scenario paths,Downside,6683304.579260158,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,2,Macroeconomic scenario paths,Severe,5198125.783869011,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,Unemployment,495059.59846371546,1
IFRS9_20260731_FINAL_V1__IFRS9_20260831_FINAL_V1,IFRS9_20260731_FINAL_V1,IFRS9_20260831_FINAL_V1,3,Macroeconomic scenario paths::Baseline,GDP,495059.59846371546,2
