run_id,as_of_date,instrument_id,counterparty_id,product_type,scenario,scenario_weight,stage,pd_12m,pd_applied,lgd,ead,scenario_ecl,weighted_ecl
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000001,CP-C-00335,Revolving Credit Facility,Baseline,0.7,1,0.04643169968230452,0.04643169968230454,0.62,261079.90748280374,7515.877991541745,5261.114594079221
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000002,CP-C-00468,Commercial Term Loan,Baseline,0.7,1,0.04342679920595697,0.04342679920595697,0.25015050728228916,195752.3103988189,2126.5035162437102,1488.552461370597
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000003,CP-I-01078,Mortgage,Baseline,0.7,1,0.013623735839537033,0.013623735839537033,0.4916841781050179,308127.68808534846,2064.0165388288046,1444.811577180163
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000004,CP-C-00518,Commercial Term Loan,Baseline,0.7,1,0.03518545927752928,0.03518545927752928,0.30659699434166315,688163.416362599,7423.7390644625375,5196.6173451237755
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000005,CP-I-01152,Mortgage,Baseline,0.7,2,0.09779850216119022,0.5610365603775481,0.26915120134007625,227238.56199079292,34313.8555129936,24019.69885909552
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000006,CP-I-01263,Mortgage,Baseline,0.7,1,0.04182875195207007,0.04182875195207007,0.25978007888305626,172913.49533383042,1878.9258477125654,1315.2480933987956
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000007,CP-I-00482,Mortgage,Baseline,0.7,1,0.060619580220451996,0.060619580220451996,0.2622672716367044,246259.45724150244,3915.1638396302205,2740.6146877411543
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000008,CP-I-01480,Mortgage,Baseline,0.7,1,0.0517657702359268,0.0517657702359268,0.36526666708558375,168829.57736462037,3192.2820472973,2234.5974331081097
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000009,CP-C-00333,Commercial Term Loan,Baseline,0.7,1,0.03719597119542322,0.03719597119542322,0.28274108121657754,413156.9645258624,4345.101192638134,3041.5708348466937
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000010,CP-I-01389,Credit Card,Baseline,0.7,1,0.05723630033049358,0.05723630033049358,0.62,17696.91041353743,628.001521197662,439.60106483836336
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000011,CP-C-00369,Commercial Term Loan,Baseline,0.7,1,0.028478135358348082,0.02847813535834809,0.25190605551807477,473633.4079767926,3397.758326641145,2378.4308286488013
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000012,CP-I-01479,Personal Loan,Baseline,0.7,1,0.05697971702446032,0.05697971702446036,0.62,6205.319712323461,219.21796397778792,153.45257478445154
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000013,CP-I-00469,Personal Loan,Baseline,0.7,1,0.01973540694179547,0.01973540694179547,0.62,9941.666730176523,121.64575993184054,85.15203195228838
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000014,CP-I-00343,Auto Loan,Baseline,0.7,2,0.07500194877064373,0.3028598220608165,0.565119471115746,22604.344077197402,3868.7783011382344,2708.144810796764
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000015,CP-I-00481,Auto Loan,Baseline,0.7,3,0.01909735572842473,0.0424949352702827,0.4443721731979835,24779.56680161281,467.92660338651274,327.5486223705589
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000016,CP-C-00364,Commercial Real Estate,Baseline,0.7,1,0.05255524143913086,0.05255524143913086,0.33427930132962347,10825331.383941034,190180.82243710003,133126.57570597
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000017,CP-C-00582,Revolving Credit Facility,Baseline,0.7,1,0.0380646298851846,0.0380646298851846,0.62,488235.9228698216,11522.402214428605,8065.681550100023
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000018,CP-I-01243,Mortgage,Baseline,0.7,1,0.039695564024736556,0.039695564024736556,0.4504769662269193,252333.88582922643,4512.218713589904,3158.5530995129325
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000019,CP-I-00074,Credit Card,Baseline,0.7,1,0.015937373235091465,0.01593737323509148,0.62,28716.63626426507,283.7540051239724,198.62780358678066
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000020,CP-C-00363,Commercial Term Loan,Baseline,0.7,1,0.04141206204359141,0.04141206204359141,0.4152516365479265,172502.4089256063,2966.4250024456364,2076.4975017119455
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000021,CP-C-00441,Equipment Lease,Baseline,0.7,1,0.0407308850096271,0.0407308850096271,0.30587329176064926,897731.7644593683,11184.382097281909,7829.067468097335
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000022,CP-C-00268,Revolving Credit Facility,Baseline,0.7,1,0.03608697909577287,0.03608697909577287,0.62,1212493.4274332637,27128.239481118635,18989.767636783043
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000023,CP-I-01637,Credit Card,Baseline,0.7,1,0.017137790124747317,0.017137790124747365,0.62,74287.04428641398,789.3317798603929,552.532245902275
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000024,CP-I-00062,Auto Loan,Baseline,0.7,1,0.016628874644396694,0.016628874644396694,0.3305035170987704,27748.409561018718,152.50252726538196,106.75176908576736
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000025,CP-I-01693,Personal Loan,Baseline,0.7,1,0.03948215555471093,0.03948215555471093,0.62,5275.646406728243,129.14221309089967,90.39954916362977
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000026,CP-I-00685,Mortgage,Baseline,0.7,2,0.11944871328779909,0.6385591389032675,0.4651597416012365,342755.61177026737,101809.38626328419,71266.57038429893
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000027,CP-I-00556,Mortgage,Baseline,0.7,1,0.01139314907558789,0.01139314907558789,0.5680365380089676,410275.6261544759,2655.191009408952,1858.6337065862663
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000028,CP-I-00028,Auto Loan,Baseline,0.7,2,0.11900132116141435,0.2238413278846667,0.4937248301049059,7993.120401897636,883.3678668301641,618.3575067811148
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000029,CP-C-00188,Equipment Lease,Baseline,0.7,1,0.06504913015825513,0.06504913015825513,0.25077058938165336,286551.3709045702,4674.343078190515,3272.0401547333604
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000030,CP-I-00834,Credit Card,Baseline,0.7,1,0.03009985703192789,0.03009985703192789,0.62,10025.273081738233,187.0907576091407,130.96353032639848
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000031,CP-I-00291,Mortgage,Baseline,0.7,1,0.016016939416672926,0.016016939416672926,0.3053484859455987,310708.5961901043,1519.5975076542095,1063.7182553579466
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000032,CP-I-01653,Mortgage,Baseline,0.7,1,0.023642920473593093,0.023642920473593093,0.5180977149514281,454240.8185418228,5564.151623691622,3894.9061365841353
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000033,CP-I-01229,Mortgage,Baseline,0.7,1,0.010686160046598156,0.01068616004659817,0.3324421433988406,156246.227167609,555.0694016802684,388.54858117618784
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000034,CP-I-00222,Mortgage,Baseline,0.7,1,0.022655131694962517,0.022655131694962517,0.553443111873779,487483.89111354016,6112.232231791182,4278.562562253827
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000035,CP-C-00421,Revolving Credit Facility,Baseline,0.7,1,0.05343614220768614,0.05343614220768614,0.62,755836.9639919795,25041.18712609472,17528.8309882663
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000036,CP-I-00507,Mortgage,Baseline,0.7,1,0.05392418168617991,0.05392418168617996,0.30768545909136275,133528.7565902517,2215.467281197908,1550.8270968385355
IFRS9_20260630_FINAL_V1,2026-06-30,LN-000037,CP-I-01008,Mortgage,Baseline,0.7,1,0.0558693432745833,0.0558693432745833,0.30567730565668,459626.7351475699,7849.500934115114,5494.65065388058
