counterparty_id,counterparty_type,state,annual_income,fico_score,dti,annual_revenue,total_assets,total_liabilities,ebitda,number_employees,industry,rating_notch,sp_rating,moodys_rating,debt_to_equity,interest_coverage_ratio,current_ratio,as_of_date
CP-I-00001,INDIVIDUAL,TX,80846.7433204078,743.5407881854336,0.2018373052419189,,,,,,,,,,,,,2026-06-30
CP-I-00002,INDIVIDUAL,NY,101912.37755256222,804.890844559514,0.39720177114933297,,,,,,,,,,,,,2026-06-30
CP-I-00003,INDIVIDUAL,NC,144002.61826776605,752.3888300964292,0.22988346137125787,,,,,,,,,,,,,2026-06-30
CP-I-00004,INDIVIDUAL,VA,81408.69924115842,725.3763947130781,0.13474692372890806,,,,,,,,,,,,,2026-06-30
CP-I-00005,INDIVIDUAL,GA,106537.15489638878,688.1360950773868,0.11032164691284171,,,,,,,,,,,,,2026-06-30
CP-I-00006,INDIVIDUAL,NY,75828.95572938785,669.4276969487098,0.31360750152698247,,,,,,,,,,,,,2026-06-30
CP-I-00007,INDIVIDUAL,NY,34699.16350882755,779.7326168947005,0.14319440409882117,,,,,,,,,,,,,2026-06-30
CP-I-00008,INDIVIDUAL,FL,117916.49261714485,774.6724053755817,0.45340996652697224,,,,,,,,,,,,,2026-06-30
CP-I-00009,INDIVIDUAL,VA,121979.39606679244,737.4683461332223,0.15059278421077268,,,,,,,,,,,,,2026-06-30
CP-I-00010,INDIVIDUAL,NC,158119.09144668144,676.4781247890609,0.4450822504396686,,,,,,,,,,,,,2026-06-30
CP-I-00011,INDIVIDUAL,NC,99162.38902936397,735.2171704819038,0.20298322958966544,,,,,,,,,,,,,2026-06-30
CP-I-00012,INDIVIDUAL,NC,81676.50396854618,704.4225878049162,0.4125074358682505,,,,,,,,,,,,,2026-06-30
CP-I-00013,INDIVIDUAL,NY,68053.48283391295,709.6845030909727,0.3286247405978278,,,,,,,,,,,,,2026-06-30
CP-I-00014,INDIVIDUAL,NY,140732.81788262285,661.8570132123217,0.1950942786309901,,,,,,,,,,,,,2026-06-30
CP-I-00015,INDIVIDUAL,VA,110556.66242346939,671.6790175206348,0.19313370840151312,,,,,,,,,,,,,2026-06-30
CP-I-00016,INDIVIDUAL,VA,80196.6764324243,761.0455652223342,0.37044594702304423,,,,,,,,,,,,,2026-06-30
CP-I-00017,INDIVIDUAL,VA,122832.13122874734,622.5567987468138,0.21597942639731593,,,,,,,,,,,,,2026-06-30
CP-I-00018,INDIVIDUAL,NC,73439.86267056204,695.3732924013988,0.17039373842937977,,,,,,,,,,,,,2026-06-30
CP-I-00019,INDIVIDUAL,TX,113789.39858026546,749.6396255955165,0.3222916838601957,,,,,,,,,,,,,2026-06-30
CP-I-00020,INDIVIDUAL,CA,71592.20170653584,642.4106495959253,0.38483904052782236,,,,,,,,,,,,,2026-06-30
CP-I-00021,INDIVIDUAL,GA,101770.8583415053,809.9665035106224,0.27108648297963467,,,,,,,,,,,,,2026-06-30
CP-I-00022,INDIVIDUAL,CA,58854.46776177519,760.520865561281,0.05,,,,,,,,,,,,,2026-06-30
CP-I-00023,INDIVIDUAL,FL,43079.50364515153,710.3849148771918,0.16654281830327894,,,,,,,,,,,,,2026-06-30
CP-I-00024,INDIVIDUAL,TX,97877.59402761188,709.2163769859707,0.2269072148030188,,,,,,,,,,,,,2026-06-30
CP-I-00025,INDIVIDUAL,CA,100174.47918099043,657.2170765339139,0.36960163317023703,,,,,,,,,,,,,2026-06-30
CP-I-00026,INDIVIDUAL,GA,40118.29963519568,755.0799696248706,0.23002667961007495,,,,,,,,,,,,,2026-06-30
CP-I-00027,INDIVIDUAL,FL,85863.25134965361,695.3887320382655,0.17451618965836796,,,,,,,,,,,,,2026-06-30
CP-I-00028,INDIVIDUAL,TX,98516.34273431622,619.1625186898522,0.3292528409273162,,,,,,,,,,,,,2026-06-30
CP-I-00029,INDIVIDUAL,VA,64048.54785761853,751.7590863555864,0.0507576600856043,,,,,,,,,,,,,2026-06-30
CP-I-00030,INDIVIDUAL,GA,114470.94294517337,709.2475625357251,0.18645226120822564,,,,,,,,,,,,,2026-06-30
CP-I-00031,INDIVIDUAL,FL,162822.12338816852,585.8986154319412,0.22253392394445826,,,,,,,,,,,,,2026-06-30
CP-I-00032,INDIVIDUAL,TX,92658.15233948178,720.9901769968219,0.40368574307577254,,,,,,,,,,,,,2026-06-30
CP-I-00033,INDIVIDUAL,FL,140117.07660465298,748.1585913924889,0.13892713781318325,,,,,,,,,,,,,2026-06-30
CP-I-00034,INDIVIDUAL,GA,83173.69160222412,632.0981615427494,0.22566781409758802,,,,,,,,,,,,,2026-06-30
CP-I-00035,INDIVIDUAL,GA,97142.06745745544,675.3863144039639,0.24925902304330189,,,,,,,,,,,,,2026-06-30
CP-I-00036,INDIVIDUAL,FL,61741.430111654096,644.5821855316004,0.4262161002999848,,,,,,,,,,,,,2026-06-30
CP-I-00037,INDIVIDUAL,CA,53083.80998198374,714.2918533433773,0.3955227751132196,,,,,,,,,,,,,2026-06-30
CP-I-00038,INDIVIDUAL,CA,116200.6083340576,798.13406860528,0.3023798719447366,,,,,,,,,,,,,2026-06-30
CP-I-00039,INDIVIDUAL,VA,222943.29894576952,692.0224132925442,0.31219363343570294,,,,,,,,,,,,,2026-06-30
CP-I-00040,INDIVIDUAL,FL,71552.39530814275,615.4825966739513,0.29339770117711117,,,,,,,,,,,,,2026-06-30
