default_event_id,instrument_id,product_type,default_date,default_balance,recovery_amount,collection_cost,collateral_proceeds,recovery_horizon_months,realized_lgd
DEF-00001,HIST-000001,Auto Loan,2024-08-11,15922.159708666157,11441.92609216542,277.7040727698459,7543.6828569984045,2,0.28138353706263997
DEF-00002,HIST-000002,Personal Loan,2024-11-12,63716.619761661364,33737.569224947074,582.3473507947821,0.0,14,0.4705059786418998
DEF-00003,HIST-000003,Auto Loan,2025-08-14,87850.05831504706,48792.60781440465,1534.2214087169273,33922.29097405768,9,0.44459219777151376
DEF-00004,HIST-000004,Personal Loan,2023-01-16,46845.75242415789,5208.3840760622425,299.46666386562237,0.0,7,0.8888184348304686
DEF-00005,HIST-000005,Personal Loan,2025-06-21,166520.66704382043,45329.409098874596,1818.8012692303305,0.0,21,0.7277850857578776
DEF-00006,HIST-000006,Equipment Lease,2024-01-11,464100.11224166787,405239.62754290196,23362.586178478487,267298.2642787779,23,0.12682712877284516
DEF-00007,HIST-000007,Revolving Credit Facility,2026-02-07,480139.6050023268,60785.54464154994,4778.310872845265,0.0,29,0.8734002694044467
DEF-00008,HIST-000008,Mortgage,2025-05-23,54805.84338401194,17432.598102662938,1213.8650194056934,10905.693801440551,25,0.6819208130688413
DEF-00009,HIST-000009,Auto Loan,2023-09-25,121965.07677968958,88038.7219848504,2122.0097279333563,74717.38015332744,11,0.2781645015984512
DEF-00010,HIST-000010,Commercial Term Loan,2023-01-01,391791.8944499762,372202.29972747737,4301.008907080063,113328.10786755913,13,0.05
DEF-00011,HIST-000011,Personal Loan,2025-04-30,79823.0909282148,13304.222429696807,456.6043892062561,0.0,25,0.833328648703151
DEF-00012,HIST-000012,Revolving Credit Facility,2023-02-15,1849763.986297528,905798.4915069345,67844.44637505876,0.0,10,0.5103167224484821
DEF-00013,HIST-000013,Equipment Lease,2024-09-14,674808.0040324149,425979.95877234126,31493.16950334065,236396.7771091049,5,0.3687390246902303
DEF-00014,HIST-000014,Auto Loan,2024-08-09,41425.230828041946,31455.781827895215,1824.157247627964,21461.65240747919,28,0.24066127818407035
DEF-00015,HIST-000015,Credit Card,2025-11-12,31340.903275479694,5455.277017137788,215.06651931678354,0.0,26,0.8259374667926098
DEF-00016,HIST-000016,Credit Card,2025-01-04,797861.8832913389,378263.5444421151,4966.038903398293,0.0,15,0.5259034773265483
DEF-00017,HIST-000017,Commercial Term Loan,2025-12-08,1011809.5631284508,714919.778348531,53003.32358879516,568240.5178947414,29,0.2934245688111066
DEF-00018,HIST-000018,Credit Card,2023-03-18,194989.5865306055,92130.68895766941,2240.690369198674,0.0,2,0.5275096963026351
DEF-00019,HIST-000019,Mortgage,2024-01-08,37032.35540058976,19623.13316498879,791.8951259477002,14834.050384159314,2,0.47010842403299363
DEF-00020,HIST-000020,Auto Loan,2023-09-28,32235.31943243416,27516.459792093454,600.3459676941936,18520.726901918035,27,0.14638786658315975
DEF-00021,HIST-000021,Personal Loan,2024-11-12,171884.30089155625,69956.23008860106,2867.398434150139,0.0,17,0.5930039583269606
DEF-00022,HIST-000022,Personal Loan,2024-10-03,104337.2585206665,23091.0791528776,1485.625825944499,0.0,3,0.7786880786377586
DEF-00023,HIST-000023,Revolving Credit Facility,2023-08-06,737919.4202300241,302842.6183933679,13778.999086856207,0.0,7,0.589599338232668
DEF-00024,HIST-000024,Commercial Term Loan,2023-02-07,1970196.0855559772,911967.1133669198,24947.074726537165,428555.3172148154,28,0.5371186045628711
DEF-00025,HIST-000025,Mortgage,2023-09-03,93430.8365327063,79841.75741548199,1650.0148032401364,58811.11812581219,23,0.14544533284219627
DEF-00026,HIST-000026,Credit Card,2023-01-16,99648.77924680106,54955.250234201485,2899.7151943365125,0.0,11,0.44851055226584063
DEF-00027,HIST-000027,Credit Card,2025-04-14,123922.89728866305,58323.66410874801,3705.058543339038,0.0,13,0.5293552250243936
DEF-00028,HIST-000028,Commercial Real Estate,2023-06-21,1822129.5909924863,1353969.0643573846,101179.92445066126,867448.4078967185,9,0.25693042303324964
DEF-00029,HIST-000029,Commercial Term Loan,2025-07-26,879445.7659714493,543608.9147804726,42579.353017782465,146626.31415939098,7,0.38187329359645755
DEF-00030,HIST-000030,Credit Card,2024-01-08,558931.8957746099,386935.69417861383,11091.269878634985,0.0,18,0.30772300327865665
