instrument_id,installment_id,scheduled_payment_date,scheduled_principal,scheduled_interest,scheduled_payment,actual_payment_date,actual_payment,remaining_balance_after_payment,amortization_type,payment_frequency
LN-001488,LN-001488-001,2025-12-31,351.6083417973698,1191.3105903224532,1542.918932119823,,0,289044.30014009925,AMORTIZING,MONTHLY
LN-001488,LN-001488-002,2026-01-31,353.05575252071503,1189.863179599108,1542.918932119823,,0,288691.2443875785,AMORTIZING,MONTHLY
LN-001488,LN-001488-003,2026-02-28,354.5091215719865,1188.4098105478365,1542.918932119823,,0,288336.73526600655,AMORTIZING,MONTHLY
LN-001488,LN-001488-004,2026-03-31,355.968473478895,1186.950458640928,1542.918932119823,,0,287980.76679252763,AMORTIZING,MONTHLY
LN-001488,LN-001488-005,2026-04-30,357.43383287012125,1185.4850992497018,1542.918932119823,,0,287623.33295965753,AMORTIZING,MONTHLY
LN-001488,LN-001488-006,2026-05-31,358.9052244757297,1184.0137076440933,1542.918932119823,,0,287264.4277351818,AMORTIZING,MONTHLY
LN-001488,LN-001488-007,2026-06-30,360.3826731275883,1182.5362589922347,1542.918932119823,,0,286904.04506205424,AMORTIZING,MONTHLY
LN-001488,LN-001488-008,2026-07-31,361.866203759786,1181.052728360037,1542.918932119823,,0,286542.17885829444,AMORTIZING,MONTHLY
LN-001488,LN-001488-009,2026-08-31,363.3558414090544,1179.5630907107686,1542.918932119823,,0,286178.8230168854,AMORTIZING,MONTHLY
LN-001488,LN-001488-010,2026-09-30,364.851611215189,1178.067320904634,1542.918932119823,,0,285813.97140567016,AMORTIZING,MONTHLY
LN-001488,LN-001488-011,2026-10-31,366.3535384214754,1176.5653936983476,1542.918932119823,,0,285447.6178672487,AMORTIZING,MONTHLY
LN-001488,LN-001488-012,2026-11-30,367.86164837511296,1175.05728374471,1542.918932119823,,0,285079.7562188736,AMORTIZING,MONTHLY
LN-001488,LN-001488-013,2026-12-31,369.37596652764546,1173.5429655921776,1542.918932119823,,0,284710.38025234593,AMORTIZING,MONTHLY
LN-001488,LN-001488-014,2027-01-31,370.89651843538786,1172.0224136844352,1542.918932119823,,0,284339.48373391054,AMORTIZING,MONTHLY
LN-001488,LN-001488-015,2027-02-28,372.42332975985914,1170.4956023599639,1542.918932119823,,0,283967.0604041507,AMORTIZING,MONTHLY
LN-001488,LN-001488-016,2027-03-31,373.95642626821495,1168.962505851608,1542.918932119823,,0,283593.1039778825,AMORTIZING,MONTHLY
LN-001488,LN-001488-017,2027-04-30,375.4958338336828,1167.4230982861402,1542.918932119823,,0,283217.6081440488,AMORTIZING,MONTHLY
LN-001488,LN-001488-018,2027-05-31,377.0415784359982,1165.8773536838248,1542.918932119823,,0,282840.5665656128,AMORTIZING,MONTHLY
LN-001488,LN-001488-019,2027-06-30,378.59368616184315,1164.3252459579799,1542.918932119823,,0,282461.97287945094,AMORTIZING,MONTHLY
LN-001488,LN-001488-020,2027-07-31,380.1521832052872,1162.7667489145358,1542.918932119823,,0,282081.82069624565,AMORTIZING,MONTHLY
LN-001488,LN-001488-021,2027-08-31,381.7170958682284,1161.2018362515946,1542.918932119823,,0,281700.1036003774,AMORTIZING,MONTHLY
LN-001488,LN-001488-022,2027-09-30,383.28845056083765,1159.6304815589854,1542.918932119823,,0,281316.81514981657,AMORTIZING,MONTHLY
LN-001488,LN-001488-023,2027-10-31,384.8662738020048,1158.0526583178182,1542.918932119823,,0,280931.94887601456,AMORTIZING,MONTHLY
LN-001488,LN-001488-024,2027-11-30,386.45059221978545,1156.4683399000376,1542.918932119823,,0,280545.4982837948,AMORTIZING,MONTHLY
LN-001488,LN-001488-025,2027-12-31,388.04143255185113,1154.8774995679719,1542.918932119823,,0,280157.4568512429,AMORTIZING,MONTHLY
LN-001488,LN-001488-026,2028-01-31,389.6388216459402,1153.2801104738828,1542.918932119823,,0,279767.818029597,AMORTIZING,MONTHLY
LN-001488,LN-001488-027,2028-02-29,391.24278646031007,1151.676145659513,1542.918932119823,,0,279376.5752431367,AMORTIZING,MONTHLY
LN-001488,LN-001488-028,2028-03-31,392.8533540641938,1150.0655780556292,1542.918932119823,,0,278983.7218890725,AMORTIZING,MONTHLY
LN-001488,LN-001488-029,2028-04-30,394.47055163825553,1148.4483804815675,1542.918932119823,,0,278589.2513374342,AMORTIZING,MONTHLY
LN-001488,LN-001488-030,2028-05-31,396.0944064750506,1146.8245256447724,1542.918932119823,,0,278193.1569309592,AMORTIZING,MONTHLY
LN-001488,LN-001488-031,2028-06-30,397.7249459794841,1145.193986140339,1542.918932119823,,0,277795.4319849797,AMORTIZING,MONTHLY
LN-001488,LN-001488-032,2028-07-31,399.36219766927593,1143.556734450547,1542.918932119823,,0,277396.06978731044,AMORTIZING,MONTHLY
LN-001488,LN-001488-033,2028-08-31,401.0061891754226,1141.9127429444004,1542.918932119823,,0,276995.063598135,AMORTIZING,MONTHLY
LN-001488,LN-001488-034,2028-09-30,402.65694824266575,1140.2619838771573,1542.918932119823,,0,276592.40664989233,AMORTIZING,MONTHLY
LN-001488,LN-001488-035,2028-10-31,404.3145027299588,1138.6044293898642,1542.918932119823,,0,276188.09214716236,AMORTIZING,MONTHLY
LN-001488,LN-001488-036,2028-11-30,405.97888061093795,1136.940051508885,1542.918932119823,,0,275782.1132665514,AMORTIZING,MONTHLY
LN-000555,LN-000555-001,2023-09-30,345.2328205771498,533.5970305167193,878.8298510938691,,0,33653.18571530926,AMORTIZING,MONTHLY
LN-000555,LN-000555-002,2023-10-31,350.6511669541271,528.178684139742,878.8298510938691,,0,33302.53454835513,AMORTIZING,MONTHLY
LN-000555,LN-000555-003,2023-11-30,356.1545529788756,522.6752981149936,878.8298510938691,,0,32946.37999537625,AMORTIZING,MONTHLY
LN-000555,LN-000555-004,2023-12-31,361.74431332828544,517.0855377655837,878.8298510938691,,0,32584.635682047963,AMORTIZING,MONTHLY
LN-000555,LN-000555-005,2024-01-31,367.4218036266809,511.4080474671882,878.8298510938691,,0,32217.213878421284,AMORTIZING,MONTHLY
LN-000555,LN-000555-006,2024-02-29,373.18840077458503,505.6414503192841,878.8298510938691,,0,31844.025477646697,AMORTIZING,MONTHLY
LN-000555,LN-000555-007,2024-03-31,379.0455032826447,499.78434781122445,878.8298510938691,,0,31464.979974364054,AMORTIZING,MONTHLY
LN-000555,LN-000555-008,2024-04-30,384.994531610796,493.83531948307314,878.8298510938691,,0,31079.98544275326,AMORTIZING,MONTHLY
LN-000555,LN-000555-009,2024-05-31,391.03692851275355,487.7929225811156,878.8298510938691,,0,30688.948514240506,AMORTIZING,MONTHLY
LN-000555,LN-000555-010,2024-06-30,397.1741593859055,481.6556917079636,878.8298510938691,,0,30291.774354854602,AMORTIZING,MONTHLY
LN-000555,LN-000555-011,2024-07-31,403.40771262670086,475.4221384671683,878.8298510938691,,0,29888.366642227902,AMORTIZING,MONTHLY
LN-000555,LN-000555-012,2024-08-31,409.7390999916143,469.09075110225484,878.8298510938691,,0,29478.62754223629,AMORTIZING,MONTHLY
LN-000555,LN-000555-013,2024-09-30,416.1698569637758,462.6599941300933,878.8298510938691,,0,29062.45768527251,AMORTIZING,MONTHLY
LN-000555,LN-000555-014,2024-10-31,422.70154312535544,456.1283079685137,878.8298510938691,,0,28639.756142147155,AMORTIZING,MONTHLY
LN-000555,LN-000555-015,2024-11-30,429.33574253579116,449.494108558078,878.8298510938691,,0,28210.420399611365,AMORTIZING,MONTHLY
LN-000555,LN-000555-016,2024-12-31,436.0740641159545,442.7557869779146,878.8298510938691,,0,27774.34633549541,AMORTIZING,MONTHLY
LN-000555,LN-000555-017,2025-01-31,442.91814203834434,435.9117090555248,878.8298510938691,,0,27331.428193457068,AMORTIZING,MONTHLY
LN-000555,LN-000555-018,2025-02-28,449.8696361234053,428.9602149704638,878.8298510938691,,0,26881.55855733366,AMORTIZING,MONTHLY
LN-000555,LN-000555-019,2025-03-31,456.9302322420662,421.8996188518029,878.8298510938691,,0,26424.628325091595,AMORTIZING,MONTHLY
