forecast_vintage,scenario,period,geography,variable,value
2026-06-30,Baseline,2026Q3,US,unemployment_rate,4.1
2026-06-30,Baseline,2026Q3,US,real_gdp_growth,2.2
2026-06-30,Baseline,2026Q3,US,hpi_growth,3.0
2026-06-30,Baseline,2026Q3,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2026Q3,US,bbb_spread,1.7
2026-06-30,Baseline,2026Q3,US,corporate_default_rate,2.0
2026-06-30,Baseline,2026Q4,US,unemployment_rate,4.1
2026-06-30,Baseline,2026Q4,US,real_gdp_growth,2.2
2026-06-30,Baseline,2026Q4,US,hpi_growth,3.0
2026-06-30,Baseline,2026Q4,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2026Q4,US,bbb_spread,1.7
2026-06-30,Baseline,2026Q4,US,corporate_default_rate,2.0
2026-06-30,Baseline,2027Q1,US,unemployment_rate,4.1
2026-06-30,Baseline,2027Q1,US,real_gdp_growth,2.2
2026-06-30,Baseline,2027Q1,US,hpi_growth,3.0
2026-06-30,Baseline,2027Q1,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2027Q1,US,bbb_spread,1.7
2026-06-30,Baseline,2027Q1,US,corporate_default_rate,2.0
2026-06-30,Baseline,2027Q2,US,unemployment_rate,4.1
2026-06-30,Baseline,2027Q2,US,real_gdp_growth,2.2
2026-06-30,Baseline,2027Q2,US,hpi_growth,3.0
2026-06-30,Baseline,2027Q2,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2027Q2,US,bbb_spread,1.7
2026-06-30,Baseline,2027Q2,US,corporate_default_rate,2.0
2026-06-30,Baseline,2027Q3,US,unemployment_rate,4.1
2026-06-30,Baseline,2027Q3,US,real_gdp_growth,2.2
2026-06-30,Baseline,2027Q3,US,hpi_growth,3.0
2026-06-30,Baseline,2027Q3,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2027Q3,US,bbb_spread,1.7
2026-06-30,Baseline,2027Q3,US,corporate_default_rate,2.0
2026-06-30,Baseline,2027Q4,US,unemployment_rate,4.1
2026-06-30,Baseline,2027Q4,US,real_gdp_growth,2.2
2026-06-30,Baseline,2027Q4,US,hpi_growth,3.0
2026-06-30,Baseline,2027Q4,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2027Q4,US,bbb_spread,1.7
2026-06-30,Baseline,2027Q4,US,corporate_default_rate,2.0
2026-06-30,Baseline,2028Q1,US,unemployment_rate,4.1
2026-06-30,Baseline,2028Q1,US,real_gdp_growth,2.2
2026-06-30,Baseline,2028Q1,US,hpi_growth,3.0
2026-06-30,Baseline,2028Q1,US,commercial_property_price_growth,1.0
2026-06-30,Baseline,2028Q1,US,bbb_spread,1.7
2026-06-30,Baseline,2028Q1,US,corporate_default_rate,2.0
2026-06-30,Baseline,2028Q2,US,unemployment_rate,4.1
2026-06-30,Baseline,2028Q2,US,real_gdp_growth,2.2
2026-06-30,Baseline,2028Q2,US,hpi_growth,3.0
2026-06-30,Baseline,2028Q2,US,commercial_property_price_growth,1.0
