as_of_date,instrument_id,counterparty_id,product_type,segment,origination_date,maturity_date,original_balance,current_balance,undrawn_amount,interest_rate,days_past_due,watchlist_flag,forbearance_flag,default_flag,chargeoff_flag,collateral_type,collateral_value,ltv,risk_grade,state
2026-06-30,LN-000001,CP-C-00335,Revolving Credit Facility,COMMERCIAL,2023-04-08,2033-04-03,266587.978608101,202884.91556387764,96991.65319821014,0.12842290207727253,0,0,0,0,0,Unsecured,0.0,,BBB-,VA
2026-06-30,LN-000002,CP-C-00468,Commercial Term Loan,COMMERCIAL,2025-05-26,2032-05-22,230911.6352584779,195752.3103988189,0.0,0.12311299332711992,0,0,0,0,0,Business Assets,283213.5395242345,0.691182740513253,BBB,NC
2026-06-30,LN-000003,CP-I-01078,Mortgage,RETAIL,2025-04-02,2055-03-20,314691.83453213295,308127.68808534846,0.0,0.06914940966717671,0,0,0,0,0,Residential Real Estate,272598.5868958594,1.1303348692818507,,GA
2026-06-30,LN-000004,CP-C-00518,Commercial Term Loan,COMMERCIAL,2023-01-08,2030-01-04,1167648.977177276,688163.416362599,0.0,0.06039152489153443,0,0,0,0,0,Business Assets,866909.0348873053,0.793812716984842,BBB+,CA
2026-06-30,LN-000005,CP-I-01152,Mortgage,RETAIL,2020-08-03,2050-07-21,276706.28831100365,227238.56199079292,0.0,0.07180721881600746,0,1,0,0,0,Residential Real Estate,313117.4569319467,0.7257294569819568,,CA
2026-06-30,LN-000006,CP-I-01263,Mortgage,RETAIL,2019-11-15,2049-11-01,204809.66082245,172913.49533383042,0.0,0.07313580402626355,0,0,0,0,0,Residential Real Estate,243989.95122103157,0.7086910525146477,,VA
2026-06-30,LN-000007,CP-I-00482,Mortgage,RETAIL,2025-08-15,2055-08-02,259344.88660222857,246259.45724150244,0.0,0.1241048637565973,0,0,0,0,0,Residential Real Estate,345281.67725464917,0.7132132211576443,,NC
2026-06-30,LN-000008,CP-I-01480,Mortgage,RETAIL,2021-11-24,2051-11-11,189900.33127147716,168829.57736462037,0.0,0.12544889798918543,0,0,0,0,0,Residential Real Estate,187487.4158137021,0.9004848492465158,,GA
2026-06-30,LN-000009,CP-C-00333,Commercial Term Loan,COMMERCIAL,2021-03-02,2028-02-27,1090058.9372220174,413156.9645258624,0.0,0.07812555266247334,0,0,0,0,0,Business Assets,550554.1871902659,0.7504383294846864,BBB-,FL
2026-06-30,LN-000010,CP-I-01389,Credit Card,RETAIL,2024-01-16,2034-01-11,14021.635742409486,13641.489371606753,6759.0350698844595,0.05949295162862292,0,0,0,0,0,Unsecured,0.0,,,GA
2026-06-30,LN-000011,CP-C-00369,Commercial Term Loan,COMMERCIAL,2023-05-23,2030-05-19,713073.076607983,473633.4079767926,0.0,0.09492249906957544,0,0,0,0,0,Business Assets,682100.6648712517,0.6943746463964995,BBB+,CA
2026-06-30,LN-000012,CP-I-01479,Personal Loan,RETAIL,2023-03-01,2027-02-27,19326.14957457723,6205.319712323461,0.0,0.21076918936933128,0,0,0,0,0,Unsecured,0.0,,,TX
2026-06-30,LN-000013,CP-I-00469,Personal Loan,RETAIL,2025-03-31,2029-03-29,13708.531524135284,9941.666730176523,0.0,0.17805570486574993,0,0,0,0,0,Unsecured,0.0,,,VA
2026-06-30,LN-000014,CP-I-00343,Auto Loan,RETAIL,2026-02-15,2031-02-13,24005.41741308065,22604.344077197402,0.0,0.17167830366332273,0,1,0,0,0,Vehicle,17885.25535402306,1.2638535838468108,,NC
2026-06-30,LN-000015,CP-I-00481,Auto Loan,RETAIL,2023-10-02,2028-09-29,45478.4872416148,24779.56680161281,0.0,0.14242703156366843,0,0,0,1,0,Vehicle,23728.10239919,1.0443130421781517,,NY
2026-06-30,LN-000016,CP-C-00364,Commercial Real Estate,COMMERCIAL,2025-12-26,2040-12-19,10815484.219904447,10825331.383941034,0.0,0.13191813463231314,0,0,0,0,0,Commercial Real Estate,12824031.233174592,0.8441441842356789,BBB-,CA
2026-06-30,LN-000017,CP-C-00582,Revolving Credit Facility,COMMERCIAL,2020-10-13,2030-10-09,448027.80101875495,210608.06111649727,462713.1029222072,0.1344861437411472,0,0,0,0,0,Unsecured,0.0,,BBB+,NY
2026-06-30,LN-000018,CP-I-01243,Mortgage,RETAIL,2024-11-11,2054-10-29,271435.3412604709,252333.88582922643,0.0,0.184424893966747,0,0,0,0,0,Residential Real Estate,239085.51980651967,1.055412665867126,,TX
2026-06-30,LN-000019,CP-I-00074,Credit Card,RETAIL,2019-09-17,2029-09-12,14867.82840637701,23158.065977635724,9264.283811048914,0.14055176906326922,0,0,0,0,0,Unsecured,0.0,,,GA
2026-06-30,LN-000020,CP-C-00363,Commercial Term Loan,COMMERCIAL,2020-01-14,2027-01-10,663803.7194232198,172502.4089256063,0.0,0.17069416785948804,0,0,0,0,0,Business Assets,174004.65867422303,0.9913666119053208,BBB,TX
2026-06-30,LN-000021,CP-C-00441,Equipment Lease,COMMERCIAL,2023-03-12,2028-03-09,1947318.8446442152,897731.7644593683,0.0,0.16380971723858584,0,0,0,0,0,Equipment,1132789.0003496394,0.7924968941102714,BBB,NC
2026-06-30,LN-000022,CP-C-00268,Revolving Credit Facility,COMMERCIAL,2025-12-23,2035-12-19,1260788.6716684601,545370.965596961,1111870.7697271714,0.18357380949365493,0,0,0,0,0,Unsecured,0.0,,BBB,GA
2026-06-30,LN-000023,CP-I-01637,Credit Card,RETAIL,2025-05-28,2035-05-24,57782.325023806705,63792.19695336469,17491.412221748804,0.15349803382858038,0,0,0,0,0,Unsecured,0.0,,,NC
2026-06-30,LN-000024,CP-I-00062,Auto Loan,RETAIL,2024-06-28,2029-06-26,40510.477781572605,27748.409561018718,0.0,0.210346909170513,0,0,0,0,0,Vehicle,33141.169810624764,0.8372791219977643,,VA
2026-06-30,LN-000025,CP-I-01693,Personal Loan,RETAIL,2023-04-26,2027-04-24,15097.872382837102,5275.646406728243,0.0,0.1806755665795397,0,0,0,0,0,Unsecured,0.0,,,FL
2026-06-30,LN-000026,CP-I-00685,Mortgage,RETAIL,2021-08-02,2051-07-20,396180.12656742276,342755.61177026737,0.0,0.14195502943964672,0,1,0,0,0,Residential Real Estate,316747.8801009941,1.0821086210931572,,CA
2026-06-30,LN-000027,CP-I-00556,Mortgage,RETAIL,2020-06-05,2050-05-23,489990.58064111695,410275.6261544759,0.0,0.19475528143953116,0,0,0,0,0,Residential Real Estate,323266.16458874085,1.2691573418344864,,NY
